x,y,cluster
244654.88563049852,847642.0410557184,1
417799.6942675159,787001.9936305733,2
670929.0681818182,862765.7329545454,3
823421.2507836991,731145.2727272727,4
858947.9713467049,546259.659025788,5
606574.9562289562,574455.1683501684,6
337565.118902439,562157.1768292683,7
139682.37572254337,558123.4046242775,8
167856.14071856288,347812.7155688623,9
398555.9485714286,404855.0685714286,10
617601.9107142857,399504.21428571426,11
801616.7816455696,321123.3417721519,12
852058.4525993884,157685.52293577982,13
507818.3133903134,175610.41595441595,14
320602.55,161521.85,15
